"id	title	link	snippet",,,,,,,,,,,,,,,,
"191	Presumed asymptomatic carrier transmission of COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762028	Methods| In January 2020", we enrolled a familial cluster of 5 patients with fever and respiratory symptoms who were admitted to the Fifth People's Hospital of Anyang, Anyang, China, and 1 asymptomatic family member. This study was approved by the local …,,,,,,,,,,,,
to identify the constant transmission rate corresponding to the early exponential,,,,,,,,,,,,,,,,
growth phase. In this work, we use the constant transmission … ,,,,,,,,,,,,,,,
"
367	Radiology perspective of coronavirus disease 2019 (COVID-19): lessons from severe acute respiratory syndrome and Middle East respiratory syndrome	https://www.ajronline.org/doi/abs/10.2214/AJR.20.22969	… the imposition of strict quarantine rules and travel restrictions", the virus transmitted rapidly out …,,,,,,,,,,,,,,,
that follow-up imaging should be performed in individuals recovering from COVID-19 to look …,,,,,,,,,,,,,,,,
Precautions taken to prevent nosocomial human-to-human transmission may play a critical … ,,,,,,,,,,,,,,,,
"
368	Coronavirus Disease 19 (COVID-19): Implications for clinical dental care	https://www.sciencedirect.com/science/article/pii/S009923992030159X	… as might be the case in the current outbreak of SARS-CoV-2 transmission and its … The outbreak",,,,,,,,,,,,,,,,
of coronavirus disease 2019 (COVID-19) in the area of Wuhan, China, has evolved … as,,,,,,,,,,,,,,
Coronaviridae 3 . This family of viruses are known to be zoonotic or transmitted from animals … ,,,,,,,,,,,,,,,,
"
369	Temperature and latitude analysis to predict potential spread and seasonality for COVID-19	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550308	… Coronavirus Disease 2019 (COVID-19)", caused by SARS-CoV-2, initially came to attention in,,,,,,,,,,,,,,
a series of patients with pneumonia of … and specifically Bangkok would follow Wuhan, and China,,,,,,,,,,,,,,,
in the epidemic.7 However, the establishment of community transmission has occurred … ,,,,,,,,,,,,,,,
"
370	[HTML][HTML] Recurrence of positive SARS-CoV-2 RNA in COVID-19: A case report	https://www.sciencedirect.com/science/article/pii/S1201971220301223	… Given the possibility of recurrently positive SARS-CoV-2 RNA in clinical course and to reduce",,,,,,,,,,,,,,,,
the risk of transmission in other COVID-19 cases, we suggest that: (1) both nasopharyngeal and,,,,,,,,,,,,,,,
Jo un al Pre -pr oo f 6 oropharyngeal swabs test of SARS-CoV-2 RNA should be … ,,,,,,,,,,,,,,,,
"
371	[HTML][HTML] Public health responses to COVID-19 outbreaks on cruise ships—worldwide, February–March 2020	https://www.cdc.gov/mmwr/volumes/69/wr/mm6912e3.htm?fbclid=IwAR0ulNS-WlCI_KJVhhOKZ1SZtlr50Ekq2f7CCJZIYHjr782yOMi3wSbph7w	… and cleaning staff)", disinfection of the cabins of persons with suspected COVID-19, provision,,,,,,,,,,,,,,
of … On the Diamond Princess, transmission largely occurred among passengers before quarantine,,,,,,,,,,,,,,,
was … crew members were likely infected on voyage A and then transmitted SARS-CoV … ,,,,,,,,,,,,,,,,
"
372	Mathematical modelling of COVID-19 transmission and mitigation strategies in the population of Ontario, Canada	https://www.cmaj.ca/content/early/2020/04/09/cmaj.200476.abstract	Background: Physical-distancing interventions are being used in Canada to slow the spread of severe acute respiratory syndrome coronavirus 2, but it is not clear how effective they will be. We evaluated how different nonpharmaceutical interventions could be used to control …
373	Diagnosis and Management of First Case of COVID-19 in Canada: Lessons applied from SARS	https://academic.oup.com/cid/advance-article-abstract/doi/10.1093/cid/ciaa227/5800047	… infection was reported to transmit the virus to more than 10 HCWs (2). Healthcare … transmission is",,,,,,,,,,,,,,,,
already described across many other countries including South Korea and Italy … the first imported,,,,,,,,,,,,,,,,
case of COVID-19 hospitalized in Canada while emphasising the control … ,,,,,,,,,,,,,,,,
"
374	Priorities for the US health community responding to COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762690	… caused a spectrum of illness including very mild cases", was efficiently transmitted between,,,,,,,,,,,,,,,
humans … are many more unrecognized cases in the world and that community transmission is,,,,,,,,,,,,,,,,
happening in … In China the spread of COVID-19 was fast and intense, particularly in Wuhan … ,,,,,,,,,,,,,,,
"
375	Neonatal early-onset infection with SARS-CoV-2 in 33 neonates born to mothers with COVID-19 in Wuhan, China	https://jamanetwork.com/journals/jamapediatrics/article-abstract/2763787	… C", et al. Clinical characteristics and intrauterine vertical transmission potential of,,,,,,,,,,,,,,,
COVID-19 infection in nine pregnant women: a retrospective review of medical,,,,,,,,,,,,,,,,
records. Lancet. 2020;395(10226):809-815. doi:10.1016/S0140 … ,,,,,,,,,,,,,,,,
"
376	Internationally lost COVID-19 cases	https://www.sciencedirect.com/science/article/pii/S1684118220300736	… COVID-19 might further establish itself as a pandemic", especially since this virus shows,,,,,,,,,,,,,,,
exceptionally high transmission rates and structural stability on surfaces [5, 6]. With only … situation.,,,,,,,,,,,,,,,
For example, Taiwan has many more imported than locally transmitted COVID-19 … ,,,,,,,,,,,,,,,
"
377	Escalating infection control response to the rapidly evolving epidemiology of the Coronavirus disease 2019 (COVID-19) due to SARS-CoV-2 in Hong Kong	https://www.cambridge.org/core/journals/infection-control-and-hospital-epidemiology/article/escalating-infection-control-response-to-the-rapidly-evolving-epidemiology-of-the-coronavirus-disease-2019-covid19-due-to-sarscov2-in-hong-kong/52513ACC56587859F9C601DC747EB6EC	… the Coronavirus Disease 2019 (COVID-19) while the virus was classified as SARS-CoV-2 by …",,,,,,,,,,,,,,,,
CoV-2 may not be predominantly transmitted by airborne route. The presence of environmental,,,,,,,,,,,,,,,,
contamination by SARS-CoV-2 highlighted the importance of transmission … ,,,,,,,,,,,,,,,,
"
378	Space-time dependence of corona virus (COVID-19) outbreak	https://arxiv.org/abs/2003.03149	… studied on a Euclidean network [18]", it was assumed that the disease can be transmitted to a … Zhang,,,,,,,,,,,,,,,
Wei Lv, Lei Zhuang, Xingpeng Xu, Nan Huang, How many infections of COVID-19 there will be,,,,,,,,,,,,
in the ”Dia- mond Princess”-Predicted by a virus transmission model based … ,,,,,,,,,,,,,,,,
"
379	Immediate psychological responses and associated factors during the initial stage of the 2019 coronavirus disease (COVID-19) epidemic among the general …	https://www.mdpi.com/1660-4601/17/5/1729	… Additional health information about COVID-19 needed by respondents included more information",,,,,,,,,,,,,,,,
about symptoms after contraction of COVID-19, routes of transmission, treatment, prevention,,,,,,,,,,,,,
of the spread of COVID-19, local outbreaks, travel advice, and other measures … ,,,,,,,,,,,,,
"
380	[HTML][HTML] The global community needs to swiftly ramp up the response to contain COVID-19	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7138255/	… J Travel Med. 2020;27 [PMC free article] [PubMed] [Google Scholar]. 3. Lee VJ", Chiew CJ, Khong,,,,,,,,,,,,,,
WX. Interrupting transmission of COVID-19: lessons from containment efforts in Singapore. J Travel,,,,,,,,,,,,,,,,
Med. 2020 doi: 10.1093/jtm/taaa039. published online March 13 … ,,,,,,,,,,,,,,,,
"
381	The Efficacy of Contact Tracing for the Containment of the 2019 Novel Coronavirus (COVID-19).	https://www.medrxiv.org/content/10.1101/2020.02.14.20023036v1.abstract	… Contact tracing has proved hugely successful in the treatment of sexually transmitted infections",,,,,,,,,,,,,,,,
where the definition of a contact is … the number of individuals that match the contact-tracing,,,,,,,,,,,,,,,,
definition (figure 2). Using preliminary estimates of COVID-19 transmission (average latent … ,,,,,,,,,,,,,,,,
"
382	[HTML][HTML] How should US hospitals prepare for coronavirus disease 2019 (COVID-19)?	https://annals.org/aim/fullarticle/2763037	… Hospitals and health systems must develop agile ways to transmit timely and critical information …",,,,,,,,,,,,,,,,
Swerdlow DL, Finelli L. Preparation for possible sustained transmission of 2019 novel coronavirus …,,,,,,,,,,,,,,,
Brodie D. Preparing for the most critically ill patients with COVID-19: the potential … ,,,,,,,,,,,,,,,,
"
383	Emerging understanding of etiology and epidemiology of the novel coronavirus (COVID-19) infection in Wuhan, China	https://www.preprints.org/manuscript/202002.0283	… reported established cases", they ruled out the possibility of transmission from human to human,,,,,,,,,,,,,,,
(WHO) … pneumonia (namely COVID-19) had exposure to the Huanan seafood market in Wuhan,,,,,,,,,,,,,,,,
China, it was deemed to be the initially transmitted region [1]. By … ,,,,,,,,,,,,,,,
"
384	Mental health services for older adults in China during the COVID-19 outbreak	https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(20)30079-1/fulltext	… been increasing. Of the deaths caused by COVID-19", most were older adults. 1: Li,,,,,,,,,,,,,,,
Q; Guan X; Wu P; et al. Early transmission dynamics in Wuhan, China, of novel,,,,,,,,,,,,,,
coronavirus-infected pneumonia. N Engl J Med. 2020; (published … ,,,,,,,,,,,,,,,,
"
385	[PDF][PDF] Quantifying bias of COVID-19 prevalence and severity estimates in Wuhan, China that depend on reported cases in international travelers	https://www.medrxiv.org/content/10.1101/2020.02.13.20022707v2.full.pdf	… probably not 100% efficient. Singapore had as of 12 February 2020 eight documented",,,,,,,,,,,,,,,,
cases of COVID-19 transmission for which there were no known epidemiological,,,,,,,,,,,,,,,,
links to China or other known cases​11​, implying that … ,,,,,,,,,,,,,,,
"
386	Clinical, laboratory and imaging features of COVID-19: A systematic review and meta-analysis	https://www.sciencedirect.com/science/article/pii/S1477893920300910	… Clinical", laboratory and imaging features of COVID-19: A systematic review and meta-analysis …,,,,,,,,,,,,,,,
Introduction. An epidemic of Coronavirus Disease 2019 (COVID-19) began in December 2019,,,,,,,,,,,,,,,,
in China leading to a Public Health Emergency of International Concern (PHEIC) … ,,,,,,,,,,,,,,,,
"
387	[HTML][HTML] Looming threat of COVID-19 infection in Africa: act collectively, and fast	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30464-5/fulltext	… 2020. Google Scholar. The greatest concern for public health experts is whether",,,,,,,,,,,,,,,,
COVID-19 will become a pandemic, with sustained year-round transmission, similar,,,,,,,,,,,,,,
to influenza, as is now being observed in several countries. 3 … ,,,,,,,,,,,,,,,
"
388	[HTML][HTML] Covid-19—the search for effective therapy	https://www.nejm.org/doi/full/10.1056/NEJMe2005477	Covid-19 is spreading rapidly through Europe and North America", but we,,,,,,,,,,,,,,,
have few specific tools to control the growing epidemic and treat those who,,,,,,,,,,,,,,,,
are sick. We rely on quarantine, isolation, and in...,,,,,,,,,,,,,,
"
389	Planning and provision of ECMO services for severe ARDS during the COVID-19 pandemic and other outbreaks of emerging infectious diseases	https://www.sciencedirect.com/science/article/pii/S2213260020301211	… Given the propensity of these emerging infections to rapidly cause severe respiratory failure in",,,,,,,,,,,,,,,,
many patients and, in the case of COVID-19, the high transmission rate of the virus and unclear,,,,,,,,,,,,,,
overall case-fatality rate, the critical care response should be part of a larger pandemic … ,,,,,,,,,,,,,,,
"
390	[HTML][HTML] COVID-19: what has been learned and to be learned about the novel coronavirus disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098028/	… that both SARS-CoV and MERS-CoV originated from bats and were transmitted to humans … two",,,,,,,,,,,,,,,,
recent studies of a family cluster and a cluster caused by transmission from an … However,80%,,,,,,,,,,,,,,,
of them required ventilation support, much more than COVID-19 patients and consistent … ,,,,,,,,,,,,,,,
"
391	Assessing viral shedding and infectivity of tears in coronavirus disease 2019 (COVID-19) patients	https://www.sciencedirect.com/science/article/pii/S0161642020303110	… 64 tear samples were collected from 17 34 COVID-19 patients between Day 3 to Day 20 from",,,,,,,,,,,,,,,,
initial symptoms. Neither viral culture nor 35 … low risk of ocular transmission. 37 38 Page 5. 4 … across,,,,,,,,,,,,,,,,
the globe to cause a pandemic. While it is known to be transmitted via droplets, 41 … ,,,,,,,,,,,,,,,
"
392	[HTML][HTML] Q&A: The novel coronavirus outbreak causing COVID-19	https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-020-01533-w?utm_source=sn&utm_medium=referral&utm_content=null&utm_campaign=BSLB_1_CA01_GL_BSLB_AWA_CA01_GL_LSGR_PubH_Coronovirus_LandingPage	… of illness is more like influenza than SARS", and there is concern among the public health,,,,,,,,,,,,,,,
community because the transmissibility of COVID-19 is not … for the first wave as the virus reaches,,,,,,,,,,,,,,,,
a completely naïve population and to make maximum effort to interrupt transmission [4, 5] … ,,,,,,,,,,,,,,,
"
393	[PDF][PDF] Perioperative care provider's considerations in managing patients with the COVID-19 infections	http://www.transpopmed.org/articles/tppm/tppm-2020-7-116.pdf	… should be the best in our opinion", because the COVID-19 can be transmitted via normal … Face,,,,,,,,,,,,,,,
